from	to	weight
TPT1	SALL3	0.874517075
SALL3	TPT1	0.874517075
SOX6	MTRNR2L1	0.851270043
MTRNR2L1	SOX6	0.851270043
MTSS1	OLIG1	0.843638682
OLIG1	MTSS1	0.843638682
OLIG1	TPT1	0.834880946
TPT1	OLIG1	0.834880946
SOX6	OLIG1	0.833253099
OLIG1	SOX6	0.833253099
OLIG1	PTPRZ1	0.823390472
PTPRZ1	OLIG1	0.823390472
GATA2	S100B	0.783732588
S100B	GATA2	0.783732588
OLIG1	EMP1	0.782840696
EMP1	OLIG1	0.782840696
EMP1	SALL3	0.764105891
SALL3	EMP1	0.764105891
OLIG1	HMGB3	0.750872213
HMGB3	OLIG1	0.750872213
OLIG1	MTRNR2L2	0.749378733
MTRNR2L2	OLIG1	0.749378733
S100B	EGR3	0.727643011
EGR3	S100B	0.727643011
MTSS1	GATA2	0.725267465
GATA2	MTSS1	0.725267465
HMGB3	OLIG2	0.714630229
OLIG2	HMGB3	0.714630229
SOX6	SOX9	0.690456962
SOX9	SOX6	0.690456962
PDGFRA	TPT1	0.678296113
TPT1	PDGFRA	0.678296113
EGR3	PABPC1	0.675559964
PABPC1	EGR3	0.675559964
PABPC1	SALL3	0.67431022
SALL3	PABPC1	0.67431022
SOX6	EGR3	0.672601992
EGR3	SOX6	0.672601992
EGR3	TPT1	0.665165111
TPT1	EGR3	0.665165111
OLIG2	TPT1	0.65121143
TPT1	OLIG2	0.65121143
EMP1	TPT1	0.650408971
TPT1	EMP1	0.650408971
EGR3	PTPRZ1	0.594648004
PTPRZ1	EGR3	0.594648004
GATA2	MTRNR2L2	0.574273328
MTRNR2L2	GATA2	0.574273328
SOX9	EMP1	0.572717653
EMP1	SOX9	0.572717653
MTSS1	PTPRZ1	0.57023468
PTPRZ1	MTSS1	0.57023468
SOX6	HMGB3	0.569854516
HMGB3	SOX6	0.569854516
PDGFRA	PABPC1	0.569608301
PABPC1	PDGFRA	0.569608301
SOX9	MTSS1	0.563700343
MTSS1	SOX9	0.563700343
EGR3	SALL3	0.560541339
SALL3	EGR3	0.560541339
PDGFRA	MTRNR2L1	0.54984076
MTRNR2L1	PDGFRA	0.54984076
MTSS1	PABPC1	0.540332811
PABPC1	MTSS1	0.540332811
EMP1	PTPRZ1	0.53096695
PTPRZ1	EMP1	0.53096695
HMGB3	EMP1	0.530745579
EMP1	HMGB3	0.530745579
PDGFRA	EGR3	0.5163404
EGR3	PDGFRA	0.5163404
MTRNR2L2	OLIG2	0.51156873
OLIG2	MTRNR2L2	0.51156873
GATA2	MTRNR2L1	0.501654675
MTRNR2L1	GATA2	0.501654675
PDGFRA	MTRNR2L2	0.480299424
MTRNR2L2	PDGFRA	0.480299424
MTRNR2L1	OLIG2	0.462582579
OLIG2	MTRNR2L1	0.462582579
MTRNR2L2	SALL3	0.449548819
SALL3	MTRNR2L2	0.449548819
HMGB3	S100B	0.449044867
S100B	HMGB3	0.449044867
OLIG1	PABPC1	0.389338954
PABPC1	OLIG1	0.389338954
OLIG2	PABPC1	0.383733751
PABPC1	OLIG2	0.383733751
SOX9	SALL3	0.382569545
SALL3	SOX9	0.382569545
SOX6	GATA2	0.375713876
GATA2	SOX6	0.375713876
OLIG1	GATA2	0.355127993
GATA2	OLIG1	0.355127993
MTSS1	TPT1	0.327223165
TPT1	MTSS1	0.327223165
HMGB3	EGR3	0.299551604
EGR3	HMGB3	0.299551604
GATA2	HMGB3	0.286733455
HMGB3	GATA2	0.286733455
SOX9	OLIG1	0.286591365
OLIG1	SOX9	0.286591365
GATA2	EGR3	0.278871221
EGR3	GATA2	0.278871221
GATA2	EMP1	0.277472073
EMP1	GATA2	0.277472073
MTRNR2L1	SALL3	0.250637956
SALL3	MTRNR2L1	0.250637956
GATA2	OLIG2	0.19627741
OLIG2	GATA2	0.19627741
PDGFRA	EMP1	0.180996346
EMP1	PDGFRA	0.180996346
SOX9	PDGFRA	0.178921183
PDGFRA	SOX9	0.178921183
MTSS1	S100B	0.145624768
S100B	MTSS1	0.145624768
SOX9	EGR3	0.038567859
EGR3	SOX9	0.038567859
GATA2	SALL3	0.036411701
SALL3	GATA2	0.036411701
EMP1	EGR3	0.016547711
EGR3	EMP1	0.016547711
